Invoice #,Vendor,Description,Amount,Currency,Invoice Date,Status,Payment Date
INV-2026-0001,Mira Studios FZ-LLC,Sound stage rental Sep 2026,"1,275,000.00",AED,2026-09-30,Paid,2026-10-05
INV-2026-0002,House of Taneeq,Costumes Block 2,"215,000.00",AED,2026-09-15,Paid,2026-09-22
INV-2026-0003,Desert Kitchen LLC,Catering Block 2 weeks 1-3,"84,000.00",AED,2026-09-21,Paid,2026-09-28
INV-2026-0004,Speedy Motors UAE,Vehicle hire 4x4 x6 (Sep),"92,500.00",AED,2026-09-30,Pending,
INV-2026-0005,RAK Film Commission,Location permit fees,"345,000.00",AED,2026-09-10,Paid,2026-09-15
INV-2026-0006,Studio Art Dept,Set construction Scene 12,"612,000.00",AED,2026-09-25,Pending,
INV-2026-0007,AIG MENA,Production insurance premium,"850,000.00",AED,2026-09-01,Paid,2026-09-08
INV-2026-0008,ARRI Rental Dubai,Camera package Block 2,"425,000.00",AED,2026-09-30,Pending,
INV-2026-0009,Marco Beltrami (DP),DP fee Block 2 (3 weeks),"390,000.00",AED,2026-09-30,Pending,
INV-2026-0010,Vlad Petrov Stunts,Stunt coordination Block 2,"175,000.00",AED,2026-09-25,Paid,2026-10-01
INV-2026-0011,Dr. Aisha Veterinary,On-set vet (horse welfare),"18,500.00",AED,2026-09-20,Paid,2026-09-25
INV-2026-0012,Mira Studios FZ-LLC,Lighting equipment upgrade,"180,000.00",AED,2026-09-30,Pending,
